id_combate;id_juez;id_atleta_1;id_atleta_2;id_competencia;fecha;hora;resultado
375011657;550830348;921070891;980987183;321435734;2024-05-04;21:39:47;Victoria Atleta 2
103666967;882694382;27993386;741772724;694000475;2024-10-27;21:56:09;Victoria Atleta 1
625353101;396137974;112770515;273879064;660786330;2024-02-06;16:23:57;Victoria Atleta 1
248695473;36720547;674871493;330810010;151332745;2024-09-20;05:40:11;Victoria Atleta 1
237496511;178667422;36744244;329633644;988450478;2024-05-03;21:12:43;Victoria Atleta 2
553585090;909837630;267921389;337763893;296507444;2024-07-03;02:22:24;Victoria Atleta 2
167372754;316469578;278356513;610740629;871217168;2024-03-23;00:25:57;Victoria Atleta 2
45054626;407634465;703086387;536789104;885049748;2024-06-15;20:40:13;Victoria Atleta 2
500412807;128647502;647019153;102581762;337909400;2024-08-27;11:35:30;Victoria Atleta 1
976114212;707427514;499505880;422538762;846053132;2024-07-15;04:05:07;Victoria Atleta 2
760806803;386033018;395329248;291742695;87312540;2024-01-30;12:00:23;Victoria Atleta 2
870159211;445489752;733729513;449153835;650659963;2024-03-14;01:04:30;Victoria Atleta 2
440841282;987955427;565259345;372611474;501827937;2024-10-01;15:31:21;Victoria Atleta 1
534253174;299782839;626832196;648866255;564439168;2024-06-14;17:20:28;Victoria Atleta 1
533219622;977456459;129418032;553926819;233975018;2024-09-13;07:39:32;Victoria Atleta 1
458523169;987616928;629360256;428067555;478874674;2024-01-24;02:55:01;Victoria Atleta 2
840587896;938489818;751056020;519317244;820067896;2024-11-04;21:51:34;Victoria Atleta 1
812338689;143118515;185588260;476005507;959176180;2024-04-03;01:17:19;Victoria Atleta 2
121617302;519241740;905521309;110160857;314169830;2024-10-01;07:13:43;Victoria Atleta 1
680861661;554550234;290319153;314506367;813108867;2024-08-31;13:07:06;Victoria Atleta 2
779298188;987285580;107688274;936753786;61699439;2024-04-05;00:15:09;Victoria Atleta 2
384338424;480275184;291222357;116333184;284973444;2024-04-06;02:59:56;Victoria Atleta 1
231524284;97482712;380555720;432480033;218047567;2024-03-15;22:35:11;Victoria Atleta 2
402169449;60714627;962114888;185996423;803658224;2024-03-26;21:00:08;Victoria Atleta 1
941378390;951149202;978283382;460253763;605711369;2024-04-16;06:28:59;Victoria Atleta 2
419081919;454794438;484455006;359138936;929667622;2024-06-25;10:16:03;Victoria Atleta 1
578086210;509414921;108748134;225425742;481080976;2024-11-20;10:04:43;Victoria Atleta 1
946629973;428365179;644633307;570841931;280364389;2024-05-22;21:31:20;Victoria Atleta 1
506783657;836009678;742508551;493029711;646591101;2024-08-31;05:40:02;Victoria Atleta 2
217169507;635166861;740689012;544261053;134899983;2024-11-13;23:17:25;Victoria Atleta 1
865359148;887979099;55794664;795084980;45325566;2024-06-03;19:00:25;Victoria Atleta 1
775022498;361393513;355314151;919998730;715445788;2024-09-04;20:16:20;Victoria Atleta 2
463691690;681233538;3789522;437264610;655603343;2024-09-01;06:58:34;Victoria Atleta 1
930196535;750878031;638831014;330005069;896330152;2024-04-02;09:52:37;Victoria Atleta 2
863783021;447004660;613473454;810494188;903658795;2024-08-18;03:27:58;Victoria Atleta 2
91055209;992078875;471564145;825464159;934669786;2024-10-18;08:30:00;Victoria Atleta 1
49872316;660065117;537274080;467811785;216212469;2024-06-16;08:11:44;Victoria Atleta 1
246603340;367126021;295305695;690072206;413100116;2024-08-30;12:51:39;Victoria Atleta 2
292200958;693417936;894477157;873608467;736088000;2024-07-24;21:57:57;Victoria Atleta 2
271000550;601509922;507414374;478036962;582955378;2024-07-29;12:59:55;Victoria Atleta 1
93507459;789834732;146954347;423210329;227389420;2024-06-07;02:18:04;Victoria Atleta 2
477808976;435078194;983738170;176910650;242979613;2024-07-27;09:38:16;Victoria Atleta 1
862710299;205805033;954813023;176002537;184778293;2024-01-07;19:54:19;Victoria Atleta 1
700060103;674440693;707689171;389498114;398877164;2024-01-14;10:31:08;Victoria Atleta 2
763173759;25856004;810436553;299435103;515788176;2024-10-16;06:28:24;Victoria Atleta 2
344584031;966446954;865884037;257915961;886218300;2024-06-18;18:38:56;Victoria Atleta 1
483092976;45354019;8539864;170226057;848148233;2024-08-03;10:28:29;Victoria Atleta 1
135461574;819515124;107388650;796807704;409069103;2024-04-02;11:35:41;Victoria Atleta 2
608298969;562259473;525408020;257809983;42336591;2024-04-08;06:29:03;Victoria Atleta 1
314040794;339658407;500473797;342921312;981784771;2024-10-27;09:13:12;Victoria Atleta 1
501297589;47872694;553926819;759780625;944309761;2024-08-07;10:44:18;Victoria Atleta 2
411255468;550835828;188513743;523482526;68267414;2024-06-03;23:04:12;Victoria Atleta 1
446985075;921922738;413763196;927585210;334371619;2024-01-16;15:08:15;Victoria Atleta 2
416766954;76811830;639636548;228398422;924538160;2024-01-02;09:57:28;Victoria Atleta 1
181953752;314775683;823186992;844498726;937872646;2024-06-22;08:52:17;Victoria Atleta 2
519350309;184854894;79301619;246133311;756989970;2024-02-03;02:08:58;Victoria Atleta 1
92358616;228001625;397454820;854941734;812705464;2024-03-04;00:25:23;Victoria Atleta 2
983885568;911007190;356346107;478617187;972684128;2024-06-02;04:06:01;Victoria Atleta 2
375098221;570045062;449131465;103992622;968718252;2024-11-21;01:42:25;Victoria Atleta 1
867002724;550663609;781403935;60222943;603391245;2024-02-02;14:19:02;Victoria Atleta 2
150641919;435764137;634863738;822204468;290670760;2024-04-01;08:54:52;Victoria Atleta 1
371568598;294766203;53731815;156074324;18852794;2024-06-05;06:16:20;Victoria Atleta 2
468592303;608224948;869401690;285551968;259552058;2024-06-14;16:53:42;Victoria Atleta 1
905572006;825447384;542036100;88297998;564975036;2024-05-19;20:53:27;Victoria Atleta 1
261317593;256711505;460517304;509212502;989593860;2024-07-17;17:16:20;Victoria Atleta 2
120845817;638848943;366731587;718658012;625895678;2024-06-01;02:25:27;Victoria Atleta 1
496091596;25981513;128745279;614860845;132141666;2024-10-01;14:03:36;Victoria Atleta 1
608332370;937029086;769237544;404967475;188818008;2024-02-02;13:22:23;Victoria Atleta 2
381036021;601842407;49775763;960154609;202519331;2024-01-19;14:23:34;Victoria Atleta 2
843745;477062229;177613140;522724092;182610583;2024-02-16;12:48:47;Victoria Atleta 2
21015316;592257648;22187652;361087877;635653743;2024-09-03;04:36:46;Victoria Atleta 2
142302100;207616175;953536842;510878365;480980601;2024-01-01;07:16:07;Victoria Atleta 1
993985231;278063728;294228832;998515406;450408909;2024-03-16;12:23:24;Victoria Atleta 1
442865842;206102598;575558287;570813250;900057376;2024-07-27;10:56:31;Victoria Atleta 1
101951672;823949371;116788165;450667188;213355291;2024-09-14;21:07:58;Victoria Atleta 2
324671168;552956101;285467066;602841388;755155688;2024-08-29;13:50:54;Victoria Atleta 2
97036128;211678593;395133256;682755693;492565626;2024-07-11;03:09:39;Victoria Atleta 2
730530294;618819930;285956153;368376262;778307644;2024-06-12;01:41:42;Victoria Atleta 2
234574877;868007763;619903460;524607010;254240422;2024-09-28;21:07:07;Victoria Atleta 1
555683226;367575171;539645049;456939360;467593016;2024-01-23;15:18:12;Victoria Atleta 2
914672519;942056434;399476578;316586686;178954034;2024-09-02;11:43:44;Victoria Atleta 1
335542562;288858121;890371191;484965114;191199027;2024-03-05;17:38:33;Victoria Atleta 1
402564835;461187017;41613221;917284410;240726388;2024-10-05;03:39:30;Victoria Atleta 1
64687977;275234570;966726275;390248219;734279506;2024-11-02;13:03:29;Victoria Atleta 2
723626121;957412286;869193073;279334966;551917662;2024-07-08;22:40:02;Victoria Atleta 1
123435538;506554613;766668902;771645231;509225780;2024-08-19;01:03:27;Victoria Atleta 1
471924255;176044576;16480218;655981708;734526564;2024-04-06;13:54:44;Victoria Atleta 2
541415678;2348151;178994094;737645596;272704845;2024-05-30;08:25:30;Victoria Atleta 1
193822322;488652850;527708808;842708177;974130462;2024-09-17;01:18:42;Victoria Atleta 1
382869595;864920343;618046570;572189648;355091331;2024-02-25;23:24:15;Victoria Atleta 2
263810877;317494339;33744849;150299750;296689540;2024-09-24;01:07:13;Victoria Atleta 2
270126425;953924722;934209100;257811175;510644376;2024-08-13;16:55:04;Victoria Atleta 1
289255149;33908309;591365606;242838529;16470707;2024-03-12;07:34:18;Victoria Atleta 1
791048404;14455417;940151999;686096158;26831236;2024-09-27;23:34:13;Victoria Atleta 2
291434796;446682631;186638093;528346228;80576428;2024-02-13;20:08:30;Victoria Atleta 1
997443038;358051724;528638680;342887562;154647694;2024-11-08;06:45:49;Victoria Atleta 2
809270542;208910072;705802153;402891984;975228312;2024-11-14;07:15:01;Victoria Atleta 1
786774954;981870291;879322130;252951489;951699347;2024-04-01;20:59:16;Victoria Atleta 1
