id_persona;id_equipo
780287387;96
2448938;82
401128592;33
596166169;94
158246282;100
336267990;39
903818171;21
443999020;80
943137145;43
777144537;49
986901177;4
798193365;39
851939023;63
11236995;69
499147789;75
552967798;30
189616265;2
655797466;61
116648453;64
78409789;67
573582935;77
44924771;52
486236212;15
889964522;52
107292531;74
648686683;50
647167156;40
10534955;48
499121647;68
761672960;71
125251629;97
396385976;31
356695788;30
216787514;5
564054290;77
757680780;4
623380152;88
308969431;60
377603298;55
479779501;29
69209793;33
831500871;55
268519053;25
569526263;39
80942353;61
911327661;54
686295685;30
901448424;28
162107163;13
65570245;78
577128113;57
754041933;86
366793227;61
685767870;62
143981885;72
64768042;63
947863498;71
231325064;18
257518796;11
814032528;34
582211710;15
159515639;20
819980319;53
869142838;75
846649544;87
80060512;99
950605070;52
612151750;25
172425386;14
580882218;88
566299318;37
321193055;31
951590493;18
276697952;95
354210543;76
904658215;99
319100994;1
568648423;15
811740292;21
25279527;39
431063613;14
690867642;67
639584453;27
231518415;98
164553308;42
712589302;59
38812420;19
582298966;2
906358024;52
839820299;72
171023350;53
334828873;95
229001464;87
681445024;45
236632343;82
363566679;89
585372027;75
10620274;51
273594542;42
861044257;83
661698592;50
734421731;96
667537676;65
413128033;84
822324604;19
915612437;2
18084023;9
819336717;26
847836112;5
962541753;76
117597900;92
867088621;47
295751582;62
814355913;33
196826843;9
226217112;95
786575625;47
608552618;97
520279452;62
908882650;23
958451986;60
548866261;21
563905836;66
986135336;35
839245068;72
313104601;15
447557985;29
418148831;18
352073196;92
737289276;99
832070921;68
196673095;4
798743097;30
726606178;27
987234993;43
367391371;86
478147107;28
421517824;65
478604506;76
890702611;59
908487659;80
578010057;69
824399942;56
791593131;54
591057536;59
366130265;68
647035302;93
130982845;19
180190855;85
422839966;35
795699193;92
983653937;26
542025836;34
17935086;15
145525075;52
124359878;19
996335163;50
583824707;80
152948154;41
833061045;34
699078824;46
393202200;81
527719403;53
989244169;7
238573140;70
116631591;35
58998151;37
798089977;87
329117941;21
139333402;47
478660482;73
721122456;95
467995379;54
442299862;96
631675226;51
280847285;88
676268014;4
93436176;53
158830323;44
296848774;87
127186658;70
592785911;2
370394076;59
502646300;65
700475528;7
867266964;32
800938797;75
722689930;48
881998649;55
974164021;53
27295081;16
805482468;100
287166606;19
639048482;83
130051645;41
371232159;59
941596601;24
798546720;50
771129199;29
863244041;22
880253429;30
443484042;19
374758850;37
576000657;51
816075773;26
405001219;42
130185508;22
388251510;43
475582965;76
294047800;41
841366166;11
285744937;42
316161758;24
599672952;94
449869716;56
418332393;97
639537308;5
451577159;36
668585167;45
553862355;90
361340280;87
949550749;87
459499118;62
433086668;64
959641059;88
158577701;20
18956005;53
531018948;32
204946902;96
984140982;59
730057565;90
554041602;64
659508620;85
378146022;87
406587225;9
180905971;78
181771222;79
286155539;18
240774381;96
871129112;8
679837634;81
72368999;43
834887064;50
584424523;72
535047333;47
929275542;87
971012380;3
322081905;7
941412125;84
258456446;49
313708343;12
107491442;32
748397712;57
681297393;46
954060920;58
993444745;10
959017761;65
995277549;85
68494926;19
933929507;30
925277115;14
81392671;89
732526254;40
94298937;15
50789681;88
923803822;47
505934541;39
693159205;7
622139751;79
704487869;73
303465814;92
731609232;69
57306041;7
461794197;77
75416553;62
869447397;79
281010663;26
6834146;65
768698668;94
181947914;65
152053746;49
113938391;99
286751606;38
465085303;89
797595649;68
693107453;96
463358126;58
973526137;13
932516299;68
433628716;90
229421166;12
30551064;49
566555691;36
54909711;51
895695301;17
107777808;41
538839120;9
611468094;74
657938018;52
2720261;50
317917539;88
5183854;78
660232629;72
505328;28
534207405;92
85505431;36
117287139;45
102420972;12
423978175;13
81233515;11
517906608;5
980836218;20
940653032;66
841212305;77
967177864;22
486776521;46
30471158;65
754610677;45
464101052;33
624146725;40
675554097;8
482632877;57
86585291;59
48110293;39
302838090;4
601264407;88
768266748;11
533653760;79
478167929;35
643024211;74
108935492;59
830798805;59
782171205;9
762428959;31
385380761;87
232439425;76
519538125;3
36801591;57
209795820;68
40875113;34
437614364;20
354332672;100
316672831;20
198305464;54
622459334;84
415667584;33
743608112;37
415426614;3
514685333;15
219194103;39
528488964;58
874381207;22
27487056;50
896732770;80
319894384;95
176445105;88
168105669;53
401555584;92
876891863;64
663005993;84
703670678;35
994213040;73
623079229;78
625201679;30
311395765;21
552632741;96
639009010;47
637303503;23
637163187;69
387696423;47
878364639;75
837536696;22
315026415;43
379686193;19
167686475;72
349599290;66
11859378;36
791465465;47
549662516;2
803393950;14
977661115;49
594992005;58
103901074;57
827284683;76
270484724;88
199511242;41
389573493;63
269795794;91
740126061;21
363893203;99
577069373;93
833720376;11
173299654;36
127437297;74
572878865;8
407724997;67
791798007;23
857361258;85
567719498;40
301662311;49
856114202;37
337410466;93
315705995;8
923039873;95
385408129;45
430194835;96
264840999;69
521701879;3
469997954;20
320121017;33
91106736;46
863046555;59
883465027;42
954448341;65
198215527;77
29785891;98
21566413;57
162689868;49
384406838;79
447596900;57
36653141;9
351909750;33
521983059;3
226952009;98
472184178;8
975290255;2
199417075;36
126275958;12
811086380;22
661622150;4
788493800;75
272199859;26
251252297;19
836594741;26
